.,date
230.84993,2017-07-07
231.097809,2017-07-10
230.926193,2017-07-11
232.661575,2017-07-12
233.05249,2017-07-13
234.13945,2017-07-14
234.110886,2017-07-17
234.234818,2017-07-18
235.502975,2017-07-19
235.607849,2017-07-20
235.398102,2017-07-21
235.340897,2017-07-24
235.912979,2017-07-25
235.922516,2017-07-26
235.703201,2017-07-27
235.426682,2017-07-28
235.293213,2017-07-31
235.817612,2017-08-01
235.932068,2017-08-02
235.474365,2017-08-03
235.903427,2017-08-04
236.34201,2017-08-07
235.760406,2017-08-08
235.750885,2017-08-09
232.423172,2017-08-10
232.766464,2017-08-11
235.073883,2017-08-14
235.045303,2017-08-15
